4 ft. 1 in.,4 ft. 1 in.
4 ft. 2 in.,4 ft. 2 in.
4 ft. 3 in.,4 ft. 3 in.
4 ft. 4 in.,4 ft. 4 in.
4 ft. 5 in.,4 ft. 5 in.
4 ft. 6 in.,4 ft. 6 in.
4 ft. 7 in.,4 ft. 7 in.
4 ft. 8 in.,4 ft. 8 in.
4 ft. 9 in.,4 ft. 9 in.
4 ft. 10 in.,4 ft. 10 in.
4 ft. 11 in.,4 ft. 11 in.
5 ft. 1 in.,5 ft. 1 in.
5 ft. 2 in.,5 ft. 2 in.
5 ft. 3 in.,5 ft. 3 in.
5 ft. 4 in.,5 ft. 4 in.
5 ft. 5 in.,5 ft. 5 in.
5 ft. 6 in.,5 ft. 6 in.
5 ft. 7 in.,5 ft. 7 in.
5 ft. 8 in.,5 ft. 8 in.
5 ft. 9 in.,5 ft. 9 in.
5 ft. 10 in.,5 ft. 10 in.
5 ft. 11 in.,5 ft. 11 in.
6 ft. 1 in.,6 ft. 1 in.
6 ft. 2 in.,6 ft. 2 in.
6 ft. 3 in.,6 ft. 3 in.
6 ft. 4 in.,6 ft. 4 in.
6 ft. 5 in.,6 ft. 5 in.
6 ft. 6 in.,6 ft. 6 in.
6 ft. 7 in.,6 ft. 7 in.
6 ft. 8 in.,6 ft. 8 in.
6 ft. 9 in.,6 ft. 9 in.
6 ft. 10 in.,6 ft. 10 in.
6 ft. 11 in.,6 ft. 11 in.
